"Kerncijfers wijken en buurten 2015"
"Onderwerpen";"Regioaanduiding";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen"
"Onderwerpen";"Codering";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; leeftijd";"Personenauto's; leeftijd";"Personenauto's; brandstoftype";"Personenauto's; brandstoftype";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; jonger dan 6 jaar";"Personenauto's; 6 jaar en ouder";"Personenauto's; brandstof benzine";"Personenauto's; overige brandstof";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Wijken en buurten";"code";"aantal";"aantal";"aantal";"aantal";"aantal";"per huishouden";"per km²";"aantal";"aantal"
"Verspr.h. ten zuiden van Vriezenveen";"BU17000109";"30";"10";"20";"20";"10";".";".";"5";"0"
"Wijk 02 Westerhaar-Vriezenveensewijk";"WK170002";"2295";"435";"1860";"1795";"500";"1.2";"84";"395";"190"
"Vriezenveensewijk";"BU17000200";"870";"165";"700";"690";"180";"1.1";"864";"130";"80"
"Westerhaar-West";"BU17000201";"1055";"190";"865";"860";"195";"1.2";"1082";"145";"75"
"Westerhaar-Oost";"BU17000202";"110";"30";"85";"80";"35";"1.3";"184";"50";"10"
"Verspr.h. Westerhaar-Vriezenveensewijk-O";"BU17000208";"195";"35";"160";"120";"75";"1.5";"9";"50";"15"
"Verspr.h. Westerhaar-Vriezenveensewijk-W";"BU17000209";"60";"10";"50";"45";"15";".";".";"20";"10"
"Wijk 03 Kloosterhaar";"WK170003";"3195";"760";"2430";"2480";"715";"1.5";"119";"445";"350"
"Den Ham";"BU17000300";"985";"265";"720";"750";"235";"1.4";"646";"180";"105"
"'t Sumpel";"BU17000301";"240";"55";"185";"200";"40";"1.3";"914";"15";"20"
"Broekmaten";"BU17000302";"900";"225";"675";"710";"190";"1.5";"2336";"40";"130"
"Buurtschap Meer";"BU17000307";"265";"65";"200";"200";"65";"1.6";"36";"70";"25"
"Buurtschap Magele";"BU17000308";"585";"110";"475";"460";"125";"1.6";"57";"105";"60"
"Buurtschap Linde";"BU17000309";"220";"35";"180";"160";"60";"1.6";"31";"35";"15"
"Wijk 04 Bruinehaar";"WK170004";"4585";"1010";"3575";"3600";"985";"1.2";"273";"585";"415"
"Vroomshoop-Oost";"BU17000400";"1230";"310";"920";"990";"240";"1.2";"731";"160";"145"
"Geerdijk-West";"BU17000401";"135";"20";"115";"100";"35";"1.8";"58";"40";"15"
"Geerdijk-Oost";"BU17000402";"215";"35";"180";"155";"60";"1.7";"304";"30";"25"
"Vroomshoop-West";"BU17000403";"1370";"260";"1110";"1110";"255";"1.1";"724";"120";"90"
"Beter Wonen";"BU17000404";"770";"195";"575";"625";"150";"1.2";"1649";"50";"65"
"Nieuwoord";"BU17000405";"625";"125";"500";"480";"145";"1.4";"387";"60";"55"
"Industrieterrein";"BU17000406";"125";"40";"90";"65";"60";".";".";"85";"15"
"Verspreide huizen Vroomshoop-Oost";"BU17000409";"115";"25";"85";"75";"35";"1.3";"15";"35";"5"
"Westerveld";"GM1701";"10475";"2920";"7560";"7435";"3045";"1.3";"38";"1590";"1150"
"Wijk 00 Diever";"WK170100";"1455";"385";"1065";"1050";"405";"1.2";"39";"235";"125"
"Diever";"BU17010000";"1135";"300";"835";"835";"300";"1.2";"693";"155";"105"
"Wittelte";"BU17010003";"95";"20";"70";"60";"30";"1.6";"186";"25";"5"
"Verspreide huizen Diever";"BU17010009";"225";"65";"155";"150";"70";"1.3";"6";"55";"20"
"Wijk 01 Wapse";"WK170101";"350";"90";"260";"245";"105";"1.3";"20";"80";"55"
"Wapse";"BU17010100";"310";"75";"235";"225";"85";"1.6";"153";"70";"50"
"Verspreide huizen Wapse";"BU17010109";"40";"10";"25";"20";"20";"0.6";"3";"10";"5"
"Wijk 02 Zorgvlied";"WK170102";"240";"55";"185";"165";"75";"1.3";"10";"45";"30"
"Zorgvlied";"BU17010200";"85";"20";"65";"60";"25";"1.2";"401";"10";"10"
"Verspreide huizen Zorgvlied";"BU17010209";"155";"35";"120";"100";"50";"1.4";"7";"35";"20"
"Wijk 03 Dwingeloo";"WK170103";"1445";"395";"1050";"980";"460";"1.2";"48";"205";"155"
"Dwingelo";"BU17010300";"1260";"335";"930";"875";"385";"1.2";"844";"155";"130"
"Westeinde";"BU17010301";"60";"20";"40";"40";"20";".";".";"20";"5"
"Stroovledder";"BU17010302";"30";"15";"15";"15";"15";".";".";"10";"5"
"Dwingelderveld";"BU17010303";"25";"5";"20";"20";"5";".";".";"5";"10"
"Verspreide huizen Dwingeloo";"BU17010309";"65";"25";"45";"30";"40";"1.2";"4";"15";"10"
"Wijk 04 Lhee";"WK170104";"295";"65";"230";"190";"100";"1.5";"10";"65";"35"
"Lhee";"BU17010400";"175";"35";"140";"115";"60";"1.7";"256";"40";"20"
"Lheebroek";"BU17010401";"100";"25";"75";"65";"35";".";".";"15";"15"
"Verspreide huizen Lhee";"BU17010409";"20";"5";"15";"10";"10";".";".";"15";"0"
"Wijk 05 Eemster";"WK170105";"225";"45";"180";"160";"65";"1.5";"19";"40";"45"
"Eemster";"BU17010500";"80";"15";"65";"60";"20";"1.3";"186";"15";"25"
"Verspreide huizen Eemster";"BU17010509";"145";"30";"115";"100";"45";"1.7";"13";"30";"20"
"Wijk 06 Geeuwenbrug";"WK170106";"265";"75";"190";"180";"85";"1.3";"31";"55";"40"
"Geeuwenbrug";"BU17010600";"135";"35";"100";"95";"40";"1.2";"204";"30";"20"
"Leggeloo";"BU17010601";"70";"25";"45";"45";"25";"1.4";"75";"10";"10"
"Verspreide huizen Geeuwenbrug";"BU17010609";"60";"10";"45";"35";"25";".";".";"15";"15"
"Wijk 07 Dieverbrug";"WK170107";"205";"45";"160";"140";"65";"1.5";"87";"65";"15"
"Dieverbrug";"BU17010700";"195";"40";"150";"130";"65";"1.5";"283";"60";"15"
"Verspreide huizen Dieverbrug";"BU17010709";"10";"5";"10";"10";"5";".";".";"5";"0"
"Wijk 08 Havelte";"WK170108";"2475";"795";"1675";"1865";"605";"1.3";"84";"245";"260"
"Havelte";"BU17010800";"1690";"585";"1105";"1290";"395";"1.2";"525";"150";"165"
"Darp";"BU17010801";"315";"90";"225";"240";"75";"1.2";"375";"25";"30"
"Havelterberg";"BU17010802";"120";"25";"95";"75";"40";"1.5";"229";"15";"20"
"Verspreide huizen Havelte";"BU17010809";"350";"95";"255";"255";"95";"1.5";"14";"60";"40"
"Wijk 09 Uffelte";"WK170109";"810";"215";"595";"575";"235";"1.4";"37";"120";"90"
"Uffelte";"BU17010900";"735";"200";"535";"520";"215";"1.4";"364";"95";"85"
"Verspreide huizen Uffelte";"BU17010909";"75";"20";"60";"55";"25";"1.2";"4";"25";"5"
"Wijk 10 Wapserveen";"WK170110";"475";"120";"360";"315";"160";"1.4";"25";"120";"55"
"Wapserveen midden";"BU17011000";"325";"70";"255";"210";"115";"1.4";"274";"90";"35"
"Wapserveen-West";"BU17011001";"50";"15";"35";"35";"15";".";".";"5";"10"
"Wapserveen-Oost";"BU17011002";"70";"30";"40";"50";"20";"1.3";"73";"15";"5"
"Verspreide huizen Wapserveen";"BU17011009";"35";"5";"30";"20";"10";".";".";"10";"5"
"Wijk 11 Vledder";"WK170111";"1055";"355";"700";"770";"280";"1.2";"84";"110";"105"
"Vledder";"BU17011100";"965";"330";"630";"715";"250";"1.1";"792";"85";"95"
"Verspreide huizen Vledder";"BU17011109";"90";"20";"70";"60";"35";".";".";"25";"5"
"Wijk 12 Frederiksoord";"WK170112";"180";"45";"130";"110";"65";"1.3";"55";"20";"20"
"Frederiksoord";"BU17011200";"75";"30";"50";"55";"25";"0.9";"160";"10";"5"
"Verspreide huizen Frederiksoord";"BU17011209";"100";"20";"85";"60";"45";"2.0";"37";"10";"10"
"Wijk 13 Nijensleek";"WK170113";"285";"65";"220";"180";"100";"1.4";"26";"75";"30"
"Nijensleek";"BU17011300";"230";"55";"175";"150";"85";"1.5";"316";"65";"25"
"Verspreide huizen Nijensleek";"BU17011309";"55";"10";"40";"35";"20";".";".";"10";"5"
"Wijk 14 Vledderveen";"WK170114";"220";"55";"165";"160";"60";"1.3";"55";"40";"30"
"Vledderveen";"BU17011400";"145";"30";"110";"105";"35";"1.4";"859";"20";"25"
"Verspreide huizen Vledderveen";"BU17011409";"75";"25";"55";"55";"25";"1.3";"20";"20";"10"
"Wijk 15 Wilhelminaoord";"WK170115";"450";"90";"355";"315";"135";"1.1";"180";"50";"70"
"Wilhelminaoord";"BU17011500";"370";"75";"295";"265";"105";"1.1";"1264";"30";"60"
"Verspreide huizen Wilhelminaoord";"BU17011509";"80";"20";"60";"55";"25";"1.5";"36";"20";"10"
"Wijk 16 Doldersum";"WK170116";"55";"15";"40";"30";"25";".";".";"10";"5"
"Doldersum";"BU17011600";"25";"5";"25";"15";"10";".";".";"0";"0"
"Verspreide huizen Doldersum";"BU17011609";"30";"10";"15";"15";"15";".";".";"10";"0"
"Wijk 17 Boschoord";"WK170117";"15";"5";"10";"10";"5";".";".";"5";"0"
"Verspreide huizen Boschoord";"BU17011709";"15";"5";"10";"10";"5";".";".";"5";"0"
"Sint Anthonis";"GM1702";"6225";"1405";"4820";"4770";"1455";"1.4";"63";"1040";"675"
"Wijk 00 Sint Anthonis";"WK170200";"2565";"670";"1895";"2050";"515";"1.3";"109";"295";"250"
"Sint Anthonis";"BU17020000";"1830";"465";"1365";"1495";"335";"1.2";"1544";"135";"160"
"Ledeacker";"BU17020001";"280";"80";"200";"230";"50";"1.8";"1310";"40";"35"
"Verspreide huizen Ledeacker";"BU17020008";"85";"20";"65";"65";"15";"1.1";"25";"25";"20"
"Verspreide huizen Sint Anthonis";"BU17020009";"375";"105";"265";"255";"120";"1.3";"20";"90";"35"
"Wijk 01 Oploo";"WK170201";"870";"175";"695";"660";"210";"1.3";"41";"170";"95"
"Oploo";"BU17020100";"510";"95";"415";"410";"100";"1.2";"1006";"45";"55"
"Verspreide huizen Oploo";"BU17020109";"360";"80";"280";"250";"110";"1.5";"17";"125";"40"
"Wijk 02 Westerbeek";"WK170202";"355";"50";"305";"250";"105";"1.5";"43";"70";"45"
"Westerbeek";"BU17020200";"250";"40";"210";"180";"70";"1.7";"954";"35";"40"
"Verspreide huizen Westerbeek";"BU17020209";"105";"10";"95";"70";"35";"1.1";"13";"30";"5"
"Wijk 03 Stevensbeek";"WK170203";"370";"70";"300";"275";"95";"1.4";"53";"65";"35"
"Stevensbeek";"BU17020300";"235";"50";"190";"185";"50";"1.3";"459";"30";"15"
"Verspreide huizen Stevensbeek";"BU17020309";"130";"25";"110";"90";"45";"1.8";"21";"35";"15"
"Wijk 04 Wanroij";"WK170204";"1640";"370";"1270";"1240";"395";"1.4";"80";"270";"190"
"Wanroij";"BU17020400";"1290";"300";"985";"1000";"285";"1.4";"519";"170";"140"
"Verspreide huizen Wanroij's Broek";"BU17020409";"350";"70";"280";"240";"110";"1.7";"20";"100";"45"
"Wijk 05 Landhorst";"WK170205";"415";"65";"350";"285";"125";"1.5";"22";"155";"65"
"Landhorst";"BU17020500";"270";"40";"230";"210";"65";"1.5";"1064";"55";"50"
"Verspreide huizen De Peel";"BU17020509";"145";"25";"120";"80";"65";"1.5";"8";"100";"15"
"Lingewaard";"GM1705";"22420";"6555";"15865";"18790";"3630";"1.2";"361";"2615";"2260"
"Wijk 00 Bemmel";"WK170500";"10080";"3015";"7065";"8360";"1720";"1.2";"276";"1235";"1145"
"Bemmel";"BU17050000";"5810";"1900";"3910";"4855";"955";"1.2";"1471";"445";"610"
"Haalderen";"BU17050001";"975";"250";"725";"850";"125";"1.3";"1081";"110";"75"
"Angeren";"BU17050002";"1140";"295";"845";"965";"175";"1.2";"1045";"135";"145"
"Doornenburg";"BU17050003";"1030";"255";"770";"870";"160";"1.2";"1197";"95";"110"
"Verspreide huizen Ressen";"BU17050004";"65";"25";"40";"40";"20";".";".";"10";"10"
"Verspreide huizen Angeren";"BU17050005";"365";"105";"260";"260";"105";"1.9";"44";"250";"55"
"Verspreide huizen Bemmel";"BU17050006";"170";"60";"110";"120";"50";"1.6";"22";"80";"25"
"Verspreide huizen Doornenburg";"BU17050007";"375";"85";"290";"290";"80";"1.5";"61";"95";"65"
"Verspreide huizen Bemmel-Lent";"BU17050008";"80";"20";"60";"60";"20";"1.1";"56";"10";"10"
"Verspreide huizen Ambtswaard";"BU17050009";"0";"0";"0";"0";"0";".";".";"0";"0"
"Verspreide huizen Haalderen";"BU17050010";"55";"15";"40";"45";"10";".";".";"5";"10"
"Ooijrijkse Polder";"BU17050011";"15";"0";"15";"5";"10";".";".";"0";"20"
"Wijk 01 Gendt";"WK170501";"3460";"935";"2525";"2930";"530";"1.2";"274";"415";"365"
"Gendt";"BU17050100";"2600";"685";"1920";"2275";"325";"1.1";"2236";"150";"260"
"Buurt Gendt";"BU17050101";"245";"65";"185";"195";"55";"1.3";"196";"40";"30"
"Kommerdijk";"BU17050102";"55";"15";"40";"45";"10";"1.0";"143";"15";"10"
"Hulhuizen";"BU17050103";"145";"40";"100";"115";"30";"1.4";"210";"20";"20"
"Flieren";"BU17050104";"130";"35";"95";"105";"25";"1.7";"208";"15";"15"
"Verspreide huizen Flieren";"BU17050108";"245";"90";"155";"160";"85";"1.8";"47";"170";"25"
"Verspreide huizen Gendtsche Waarden";"BU17050109";"40";"10";"30";"30";"5";".";".";"5";"5"
"Wijk 02 Huissen";"WK170502";"8870";"2595";"6275";"7500";"1370";"1.1";"683";"945";"755"
"Oude Stad Huissen";"BU17050200";"370";"95";"275";"315";"55";"0.9";"2229";"45";"20"
"Uitbreiding Stad Huissen";"BU17050201";"2945";"860";"2090";"2580";"370";"1.1";"2367";"195";"225"
"Het Zand";"BU17050202";"875";"220";"655";"740";"135";"1.1";"2038";"125";"100"
"Zilverkamp";"BU17050203";"2990";"820";"2170";"2520";"470";"1.1";"2085";"135";"240"
"Verspreide huizen Het Zand";"BU17050207";"700";"245";"460";"520";"180";"1.4";"228";"375";"80"
"Verspreide huizen Hoeve en Loostraat";"BU17050208";"950";"350";"600";"795";"155";"1.2";"458";"40";"80"
"Verspreide huizen Uiterwaard";"BU17050209";"35";"10";"25";"30";"5";".";".";"30";"5"
"Cranendonck";"GM1706";"11500";"2840";"8665";"9365";"2140";"1.3";"151";"1710";"1120"
"Wijk 00 Budel";"WK170600";"5095";"1320";"3775";"4170";"920";"1.3";"195";"785";"445"
"Budel";"BU17060000";"4350";"1120";"3230";"3610";"740";"1.2";"1449";"475";"375"
"Heikant, Meemortel, Bosch";"BU17060001";"225";"50";"180";"185";"45";"1.5";"117";"45";"25"
"Keunenhoek Broekkant Schoordijk";"BU17060002";"250";"50";"200";"195";"50";"1.7";"114";"50";"25"
"Verspreide huizen Berg en Toom";"BU17060008";"160";"45";"115";"130";"25";"1.2";"37";"40";"15"
"Verspreide huizen in het Oosten";"BU17060009";"110";"60";"55";"50";"60";".";".";"180";"5"
"Wijk 01 Schoot";"WK170601";"1150";"260";"890";"935";"220";"1.3";"303";"140";"135"
"Budel-Schoot";"BU17060100";"1055";"245";"810";"860";"195";"1.3";"1399";"125";"125"
"Klein-Schoot";"BU17060101";"50";"10";"40";"35";"15";".";".";"5";"5"
"Verspreide huizen in het Westen";"BU17060109";"50";"10";"40";"40";"10";".";".";"10";"5"
"Wijk 02 Dorplein";"WK170602";"860";"155";"705";"675";"185";"1.4";"94";"115";"125"
"Budel-Dorplein";"BU17060200";"830";"150";"680";"645";"180";"1.4";"699";"100";"120"
"Industrieterrein Dorplein";"BU17060201";"30";"5";"25";"25";"5";".";".";"10";"0"
"Verspreide huizen Budel-Dorplein";"BU17060209";"0";"0";"0";"0";"0";".";".";"0";"0"
"Wijk 03 Maarheeze";"WK170603";"2955";"800";"2155";"2400";"555";"1.4";"149";"390";"265"
"Maarheeze";"BU17060300";"2565";"670";"1895";"2130";"430";"1.3";"1385";"210";"225"
"Kamersven";"BU17060301";"160";"60";"100";"120";"40";"1.8";"165";"5";"10"
"Industrieterrein Den Engelsman Rondven";"BU17060302";"40";"20";"15";"15";"20";".";".";"140";"0"
"Verspreide huizen Hugten";"BU17060308";"135";"40";"95";"85";"45";"1.7";"11";"20";"20"
"Verspreide huizen Maarheeze";"BU17060309";"60";"10";"50";"45";"15";".";".";"15";"10"
"Wijk 04 Soerendonk";"WK170604";"1005";"230";"775";"830";"175";"1.5";"88";"190";"110"
"Soerendonk";"BU17060400";"950";"220";"730";"790";"160";"1.5";"291";"175";"105"
"Verspreide huizen Soerendonk";"BU17060409";"55";"10";"45";"40";"15";".";".";"15";"5"
"Wijk 05 Gastel";"WK170605";"430";"70";"360";"350";"80";"1.5";"73";"80";"40"
"Gastel";"BU17060500";"430";"70";"360";"350";"80";"1.6";"211";"80";"40"
"Verspreide huizen Gastelse Hei";"BU17060509";"0";"0";"0";"0";"0";".";".";"0";"0"
"Steenwijkerland";"GM1708";"21360";"5810";"15550";"15310";"6050";"1.1";"74";"3055";"2500"
"Wijk 00 Stad-Steenwijk";"WK170800";"11550";"3080";"8470";"8425";"3125";"1.1";"141";"1360";"1430"
"Centrum Steenwijk";"BU17080001";"315";"70";"245";"220";"95";"0.6";"1464";"50";"20"
"Steenwijk West";"BU17080002";"1040";"155";"885";"840";"200";"0.7";"1399";"55";"75"
"Steenwijkerdiep";"BU17080003";"345";"135";"215";"245";"100";"1.1";"1190";"25";"25"
"Torenlanden";"BU17080004";"400";"105";"295";"310";"90";"1.0";"1266";"45";"50"
"Oostwijken, De Beitel";"BU17080005";"735";"165";"570";"585";"150";"0.9";"1545";"55";"65"
"Clingenborgh";"BU17080006";"540";"150";"390";"435";"105";"0.8";"1716";"35";"50"
"Dolderkanaal";"BU17080007";"90";"40";"50";"55";"35";".";".";"60";"10"
"Woldmeenthe";"BU17080008";"620";"275";"345";"425";"195";"1.3";"1478";"30";"55"
"Oostermeenthe";"BU17080009";"1205";"240";"965";"900";"310";"1.0";"1568";"65";"100"
"Meentherand";"BU17080010";"30";"25";"5";"10";"20";".";".";"50";"5"
"Nieuwe gagels";"BU17080011";"865";"330";"535";"595";"265";"1.4";"1125";"40";"95"
"De gagels";"BU17080012";"895";"205";"695";"705";"190";"1.0";"917";"50";"85"
"Tuk";"BU17080013";"880";"270";"610";"615";"265";"1.3";"1208";"80";"135"
"Groot Verlaat";"BU17080014";"185";"115";"70";"110";"75";".";".";"175";"10"
"Zuidveen";"BU17080015";"285";"65";"220";"215";"75";"1.2";"587";"45";"45"
"Steenwijkerwold";"BU17080016";"885";"230";"650";"640";"245";"1.1";"1087";"100";"165"
"Willemsoord";"BU17080017";"355";"75";"280";"260";"90";"1.4";"853";"50";"65"
"Eesveen";"BU17080018";"220";"45";"175";"155";"70";"1.5";"520";"70";"45"
"Witte Paarden";"BU17080019";"110";"30";"80";"75";"35";"1.8";"685";"20";"20"
"Basse";"BU17080020";"40";"5";"35";"25";"15";".";".";"5";"10"
"Kallenkote";"BU17080021";"170";"40";"130";"100";"70";"1.6";"248";"35";"35"
"Onna";"BU17080022";"80";"15";"65";"55";"25";".";".";"15";"10"
"Buitengebied Steenwijk Oost";"BU17080023";"135";"40";"95";"95";"45";"2.0";"9";"25";"20"
"Buitengebied Steenwijk West";"BU17080024";"430";"100";"330";"270";"160";"1.2";"20";"75";"125"
"Buitengebied Steenwijk Noord";"BU17080025";"290";"70";"220";"200";"90";"1.1";"16";"45";"35"
"Buitengebied Steenwijk Zuid";"BU17080026";"250";"50";"200";"185";"65";"0.9";"19";"25";"25"
"Buitengebied Willemsoord";"BU17080027";"145";"25";"120";"95";"50";"1.1";"29";"35";"50"
"Wijk 02 Oldemarkt";"WK170802";"1590";"445";"1145";"1080";"510";"1.3";"82";"225";"230"
"Oldemarkt";"BU17080200";"1290";"375";"910";"910";"380";"1.2";"730";"155";"175"
"Oosterbroek en Markerbroek";"BU17080203";"25";"5";"20";"10";"15";".";".";"10";"5"
"Verspreide huizen Paasloo";"BU17080208";"245";"55";"185";"145";"95";"1.6";"40";"50";"45"
"Verspreide huizen Oldemarkt";"BU17080209";"35";"10";"25";"15";"20";".";".";"15";"10"
"Wijk 03 Kalenberg";"WK170803";"460";"115";"345";"325";"135";"1.3";"18";"80";"50"
"Kalenberg";"BU17080300";"130";"35";"95";"90";"40";"1.3";"186";"20";"10"
"Ossenzijl";"BU17080301";"280";"65";"210";"195";"85";"1.4";"235";"50";"30"
"Verspreide huizen Ossenzijl";"BU17080308";"35";"10";"25";"25";"10";".";".";"5";"5"
"Verspreide huizen Kalenberg";"BU17080309";"15";"5";"10";"10";"0";".";".";"0";"5"
"Wijk 04 Kuinre";"WK170804";"485";"90";"390";"350";"135";"1.2";"37";"100";"60"
"Kuinre";"BU17080400";"410";"80";"330";"300";"110";"1.2";"366";"70";"35"
"Verspr.h. Lindedijk en Rondebroek";"BU17080408";"25";"5";"20";"15";"10";".";".";"5";"5"
"Verspreide huizen Kuinre";"BU17080409";"50";"5";"45";"35";"15";".";".";"20";"25"
"Wijk 05 Blankenham";"WK170805";"240";"50";"190";"150";"95";"1.6";"14";"55";"35"
"Kerkbuurt";"BU17080500";"75";"20";"60";"50";"25";".";".";"5";"10"
"Dijkdorp Blankenham";"BU17080501";"130";"25";"105";"75";"50";"1.5";"20";"35";"15"
"Landelijk gebied";"BU17080509";"40";"10";"30";"20";"15";".";".";"15";"10"
"Wijk 06 Scheerwolde";"WK170806";"405";"90";"320";"270";"135";"1.4";"17";"105";"40"
"Scheerwolde";"BU17080600";"175";"35";"140";"125";"50";"1.2";"540";"30";"15"
"Wetering";"BU17080601";"120";"25";"90";"80";"35";"1.5";"97";"35";"15"
"Nederland";"BU17080607";"5";"0";"5";"5";"0";".";".";"0";"0"
"Verspr.h. polder Gelderingen (IJsselham)";"BU17080608";"65";"15";"50";"35";"25";".";".";"20";"10"
"Verspr.h. Scheerwolde en Wetering";"BU17080609";"45";"10";"30";"20";"20";".";".";"20";"0"
"Wijk 07 Vollenhove";"WK170807";"1900";"595";"1305";"1395";"505";"1.1";"251";"265";"165"
"Vollenhove";"BU17080700";"1805";"560";"1250";"1335";"470";"1.1";"906";"255";"155"
"Moespot-Leeuwte";"BU17080701";"80";"35";"45";"50";"30";"1.5";"25";"10";"10"
"Verspreide huizen Vollenhove";"BU17080709";"15";"5";"10";"10";"5";".";".";"5";"5"
"Wijk 08 Sint Jansklooster";"WK170808";"745";"225";"515";"540";"205";"1.3";"84";"125";"55"
"Sint Jansklooster kern";"BU17080800";"575";"170";"405";"430";"145";"1.2";"751";"95";"45"
"Verspreide huizen Sint Jansklooster";"BU17080808";"55";"20";"35";"35";"25";".";".";"10";"10"
"Verspreide huizen Leeuwte (gedeeltelijk)";"BU17080809";"110";"35";"75";"75";"35";"1.7";"18";"20";"5"
"Wijk 09 Heetveld";"WK170809";"450";"135";"315";"290";"160";"1.5";"37";"150";"50"
"Heetveld kern";"BU17080900";"115";"40";"75";"75";"40";"1.1";"260";"35";"20"
"Tussen Sint Jansklooster en Heetveld";"BU17080901";"90";"30";"65";"55";"40";"1.3";"72";"35";"10"
"Verspreide huizen Barsbeek";"BU17080906";"95";"20";"75";"65";"30";"1.7";"16";"45";"10"
"Verspreide huizen Kadoelen en omgeving";"BU17080909";"145";"45";"100";"95";"50";"2.0";"32";"35";"10"
"Wijk 10 Belt-Schutsloot";"WK170810";"305";"100";"205";"215";"90";"1.4";"44";"35";"25"
"Belt-Schutsloot";"BU17081000";"305";"100";"205";"215";"90";"1.4";"44";"35";"25"
"Wijk 11 Wanneperveen";"WK170811";"780";"195";"585";"565";"215";"1.4";"66";"90";"105"
"'t Haagje";"BU17081100";"515";"120";"395";"380";"135";"1.3";"657";"50";"60"
"Blauwehand";"BU17081102";"105";"30";"70";"70";"35";"1.9";"130";"15";"25"
"Wanneperveen";"BU17081103";"165";"40";"120";"120";"45";"1.3";"17";"25";"25"
"Ronduite";"BU17081104";"0";"0";"0";"0";"0";".";".";"0";"0"
"Wijk 12 Dinxterveen";"WK170812";"195";"50";"145";"135";"60";"1.3";"14";"45";"20"
"Dinxterveen";"BU17081200";"135";"35";"100";"100";"40";"1.3";"51";"15";"15"
"Roekebos";"BU17081201";"15";"5";"10";"10";"5";".";".";"20";"0"
"Klosse";"BU17081202";"15";"5";"10";"10";"10";".";".";"10";"0"
"Verspreide huizen Zomerdijk";"BU17081209";"25";"5";"20";"20";"10";".";".";"5";"0"
"Wijk 13 Giethoorn-Zuid";"WK170813";"730";"215";"515";"530";"205";"1.3";"92";"120";"70"
"Giethoorn-Zuid";"BU17081300";"565";"170";"395";"415";"150";"1.3";"135";"90";"55"
"Plan Cornelisgracht";"BU17081301";"110";"30";"80";"80";"35";"1.4";"1269";"20";"10"
"Verspreide huizen polder Giethoorn-Zuid";"BU17081309";"55";"15";"40";"35";"20";".";".";"15";"5"
"Wijk 14 Giethoorn-Noord";"WK170814";"680";"190";"490";"490";"195";"1.2";"35";"90";"55"
"Giethoorn-Noord kern";"BU17081400";"330";"90";"240";"265";"70";"1.1";"608";"30";"20"
"Overig Giethoorn-Noord";"BU17081401";"270";"80";"190";"190";"80";"1.5";"67";"25";"25"
"Verspreide huizen Giethoorn-Noord";"BU17081408";"50";"10";"35";"20";"30";".";".";"25";"5"
"Verspreide huizen polder Halfweg";"BU17081409";"30";"5";"20";"15";"15";".";".";"15";"5"
"Wijk 15 Dwarsgracht";"WK170815";"100";"30";"70";"60";"35";"1.4";"16";"15";"15"
"Dwarsgracht";"BU17081500";"90";"25";"65";"55";"35";"1.4";"17";"15";"15"
"Verspreide huizen Jonen";"BU17081509";"10";"0";"5";"5";"0";".";".";"0";"0"
"Wijk 16 Blokzijl";"WK170816";"735";"195";"540";"490";"240";"1.2";"49";"120";"90"
"Blokzijl kern";"BU17081600";"575";"160";"415";"395";"180";"1.1";"1306";"55";"75"
"Verspr.h. ten noorden van Blokzijl";"BU17081608";"95";"25";"70";"60";"35";".";".";"40";"10"
"Verspr.h. ten zuiden van Blokzijl";"BU17081609";"65";"10";"55";"40";"25";".";".";"20";"10"
"Moerdijk";"GM1709";"19805";"7110";"12700";"15855";"3955";"1.3";"124";"3655";"1815"
"Wijk 00 Zevenbergen";"WK170900";"6930";"2455";"4475";"5715";"1215";"1.1";"355";"790";"525"
"Centrum";"BU17090000";"1275";"445";"830";"1095";"180";"0.8";"2104";"120";"95"
"Torenveld";"BU17090001";"1240";"355";"885";"1070";"170";"0.9";"2172";"60";"90"
"Krooswijk";"BU17090002";"1970";"605";"1365";"1675";"295";"1.1";"2355";"85";"145"
"Bosselaar";"BU17090003";"310";"130";"180";"255";"55";"1.4";"507";"10";"25"
"Lindonk";"BU17090004";"1390";"585";"805";"1160";"235";"1.3";"1726";"130";"110"
"Schansdijk en omgeving";"BU17090005";"70";"55";"15";"35";"35";".";".";"75";"5"
